mainEffects	ratio	reg	lambda	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	0.7	TRUE	1e+07	5	0.0365853658536585	1	42	1321	0	0	0.56
TRUE	0.7	TRUE	1e+08	5	0.0365853658536585	1	42	1321	0	0	0.320675105485232
TRUE	0.7	TRUE	0	6	0.963414634146341	0.153846153846154	8	4	34	1317	0.524704514628949
TRUE	0.7	TRUE	0.01	6	0.975609756097561	0	0	0	42	1321	0.2865
TRUE	0.7	TRUE	0.1	6	0.978048780487805	0	0	0	42	1321	0.204765863119978
TRUE	0.7	TRUE	1	6	0.978048780487805	0	0	0	42	1321	0.3031310612358
TRUE	0.7	TRUE	10	6	0.965853658536585	0	0	0	42	1321	0.348484848484848
TRUE	0.7	TRUE	100	6	0.968292682926829	0	0	0	42	1321	0.400697539236583
TRUE	0.7	TRUE	1000	6	0.975609756097561	0	0	0	42	1321	0.810250000000002
TRUE	0.7	TRUE	10000	6	0.0268292682926829	1	42	1321	0	0	0.28172704488494
TRUE	0.7	TRUE	1e+05	6	0.0317073170731707	1	42	1321	0	0	0.131563650455338
TRUE	0.7	TRUE	1e+06	6	0.0292682926829268	1	42	1321	0	0	0.447550251256281
TRUE	0.7	TRUE	1e+07	6	0.0219512195121951	1	42	1321	0	0	0.585619285120532
TRUE	0.7	TRUE	1e+08	6	0.0317073170731707	1	42	1321	0	0	0.690757605115288
TRUE	0.7	TRUE	0	7	0.978048780487805	0.222222222222222	7	5	35	1316	0.422554724300362
TRUE	0.7	TRUE	0.01	7	0.970731707317073	0	0	0	42	1321	0.248953098827471
TRUE	0.7	TRUE	0.1	7	0.965853658536585	0	0	0	42	1321	0.278679653679653
TRUE	0.7	TRUE	1	7	0.965853658536585	0	0	0	42	1321	0.238095238095238
TRUE	0.7	TRUE	10	7	0.975609756097561	0	0	0	42	1321	0.41025
TRUE	0.7	TRUE	100	7	0.965853658536585	0	0	0	42	1321	0.799422799422801
TRUE	0.7	TRUE	1000	7	0.970731707317073	0	0	0	42	1321	0.841917922948074
TRUE	0.7	TRUE	10000	7	0.0268292682926829	1	42	1321	0	0	0.252563226247437
TRUE	0.7	TRUE	1e+05	7	0.024390243902439	1	42	1321	0	0	0.521
