gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15	Comp.16	Comp.17	Comp.18	Comp.19	Comp.20	Comp.21	Comp.22	Comp.23	Comp.24	Comp.25	Comp.26	Comp.27	Comp.28	Comp.29	Comp.30
ENSG00000088970.10	rest	ENSG00000088970	82.3406222913984	10.9612053946302	77.1272510705089	115.262340995021	8.86139479007418	1.86052529714888	3.56158786751551	23.5028751044985	55.3419844770151	46.7488875830093	29.6175018328789	82.4798946250185	8.03661258868749	3.81280048382246	1.71721369190935	46.9172552050278	5.42632509459443	20.7782648033114	1.38886713704451	2.37784176626732	8.00289357965529	1.29693625519991	1.19893327974056	6.27817588540486	1.12408660738354	1.47568644851796	2.66980232683252	1.04850927623291	1.66341151149063	1.11542230277854
ENSG00000104691.10	rest	ENSG00000104691	82.6480367548929	10.9206495247654	76.3806469765352	115.332306449272	9.53113514376915	2.07453719244424	3.34136472909471	23.7945240988158	55.3612638502319	46.7795707951513	29.6029198573791	82.4018576109178	7.89384253592026	3.75700802888563	1.73162740435745	46.9655026483885	5.37514197233854	20.7930323057983	1.33851973487318	2.39564349778068	7.99342319268203	1.29143666401675	1.17950061354022	6.276705910791	1.12275612895887	1.48308757550106	2.66917263829655	1.04870999237333	1.65947089284177	1.11776702962053
ENSG00000110347.7	rest	ENSG00000110347	83.2635395364819	11.0519425837461	76.5898400999313	115.235030311827	9.65644019142444	1.97732605403855	3.34986518242957	23.7653102461419	55.4429786799177	46.7599865746263	29.5076450814599	82.3940501433529	7.9453977012429	3.78501912160769	1.71995147947443	46.9366124474541	5.40356874436129	20.8194099316969	1.38530474924852	2.39691248207594	7.99448884125474	1.28221539264219	1.18977083581714	6.27493963931885	1.12311858155255	1.47432388250177	2.66966296040935	1.04685049174398	1.66268214590782	1.11509970706541
ENSG00000126749.7	rest	ENSG00000126749	80.5311686092007	11.5162076951341	76.5127753785148	115.798179061016	9.91838612904691	2.49030833974501	3.3877312580869	23.617457774389	55.5045580134122	47.344429102493	30.2778833013064	82.4260110343342	7.7562345902776	3.80540549077415	1.30397526990891	47.2259186576344	5.76151735655994	20.9914026539659	1.4266787456687	2.31567010043003	7.95749820784615	1.26382900955914	1.22500037962441	6.28640836602378	1.15490731093402	1.4981609225869	2.62907274834949	1.03936292682661	1.65233583511717	1.13394312788203
ENSG00000130600.9	true	ENSG00000130600	1	62.96535817009	1	1	1	37.2291090451221	127.478745583275	1	1	1	1	1	1	38.8587226438494	5.55968143152582	1	1	1	1.29514800791382	1	1	1.09963126493844	2.08003249420566	1	3.36447686923014	1	1	2.66377981978144	1	1.63142569793982
ENSG00000135253.8	rest	ENSG00000135253	83.265073249111	11.0389332516694	76.6001145465913	115.231947560441	9.66491491686997	1.98614127455461	3.36291850924338	23.7414780986055	55.4491407995744	46.7744537967918	29.5109437606455	82.3966670328299	7.94763121102465	3.78437963978155	1.72841727450675	46.9351653341239	5.4015838788212	20.8190873832734	1.38616609350427	2.3970237898526	7.99056878862146	1.28188141390993	1.1898411402958	6.27459171146027	1.1220906870426	1.47554134870888	2.66966281362201	1.04675290270857	1.66262822781591	1.11556953454927
ENSG00000142396.4	rest	ENSG00000142396	80.2123302593298	11.179379936201	76.0682624978558	115.763926687857	9.77839866235888	2.06827607017685	3.45631967764579	24.2014723739355	55.4091013489144	47.2136275583736	29.9916322269887	82.0513679393798	7.75289312036191	3.98641336733294	1.6771394289811	46.9709815270434	5.18040354627196	20.6551356156964	1.34841057542324	2.44854883632196	7.97909387152439	1.20972070639087	1.19016353005529	6.23420217030523	1.13450698218287	1.50689882577492	2.66054728687084	1.06408623723212	1.65423358487406	1.10900547400289
ENSG00000144596.7	rest	ENSG00000144596	83.2477794304149	11.0263484717518	76.6160446569984	115.208995456998	9.68527696828597	1.995010825586	3.35997255009921	23.736158416783	55.4387513149274	46.7761355579012	29.5198097650489	82.3888196578148	7.94440065307454	3.78050043028485	1.72962517640023	46.935985169826	5.39977809508564	20.8156063626581	1.38657089228009	2.39709787467935	7.99440237816504	1.28068627168634	1.19119624578773	6.27490350353578	1.12231118781823	1.47523215721258	2.6704604950087	1.04718622311299	1.6626403871551	1.1155574479351
ENSG00000151303.9	rest	ENSG00000151303	83.089714199343	11.1762637393022	76.597369442238	115.312528053384	9.70298902838487	2.01236042254886	3.32109691253049	23.7430698358163	55.3943430057428	46.8529992867449	29.5033736898287	82.555109028652	7.99472712874124	3.82769919582562	1.68013612561489	46.7833722306121	5.37809785011744	20.7947645802936	1.36618339325982	2.41778515769539	7.9811183846052	1.27916936896451	1.19906911821587	6.27057967878585	1.12440364538505	1.48445592396459	2.66994863986454	1.04937462534618	1.66589536921529	1.11474296831061
ENSG00000153363.8	rest	ENSG00000153363	82.8163430886056	11.0361897155385	76.4047874001322	115.285843291466	9.67860650922429	1.98502887002949	3.42720689294215	23.8073578852777	55.3018168831556	46.7356367880516	29.5069326519889	82.3704271029641	8.00124980447179	3.71492921253434	1.73497999270485	46.9312164569968	5.37440955613274	20.8053670323087	1.35188400298838	2.42140242921952	7.99284816450719	1.2810399757465	1.18833225176549	6.26923878281505	1.12710246181288	1.47707173049624	2.67012509180531	1.05095086232093	1.66217478349281	1.11356558787355
ENSG00000160336.10	rest	ENSG00000160336	82.6908101844229	10.9787766251958	76.542858107352	115.215576062123	9.70048084693029	1.96926047495536	3.46238358090612	23.7996888637129	55.5244891175529	46.7119265370882	29.4800095775834	82.4551700967762	8.03262783863903	3.82235304969003	1.77468071152021	46.9580405317074	5.32608061934284	20.7883964499877	1.44043268715978	2.40866028403292	7.98491409496842	1.27528174549272	1.19915121820641	6.27520252115222	1.12509244460679	1.47806589829303	2.6722217966213	1.0498500341467	1.66238230152673	1.11642117025165
ENSG00000172250.10	rest	ENSG00000172250	83.0787761936433	10.7609615797536	76.4028966922057	115.293512200087	9.58856585960359	2.13217889817105	3.24162988558971	23.7009323483451	55.3629709638357	46.7218231450688	29.5082916978004	82.4465400558301	7.9468768686968	3.78032838594631	1.75608682962029	46.9200991514621	5.41757392519958	20.8212858597189	1.38898333057895	2.39430731279384	8.0078149343978	1.27879256655136	1.18944018110045	6.27416633312084	1.124856675778	1.47387436553565	2.67414836613436	1.04825519645858	1.66005290807822	1.11541734079134
ENSG00000174365.14	true	ENSG00000174365	82.8158409561964	11.1137729517888	76.5990580092798	115.204788963718	9.65875263030267	1.98670578809049	3.26017565577444	23.7157894472556	55.4822299609532	46.8271778814986	29.5281567572328	82.4074518560826	7.87264012599229	3.7946137299995	1.69968645692549	46.9450310337374	5.3758128420811	20.8202269485186	1.40088334710224	2.38883270554083	7.99062297712843	1.27659261819134	1.18964239356319	6.27533165065337	1.1187949698673	1.4799320432547	2.67239777529511	1.04657676684791	1.66292479882399	1.11467875536426
ENSG00000175061.9	rest	ENSG00000175061	53.7857930286562	11.1249361443857	75.0674052800956	111.845054445252	10.2574235578083	3.41351304929477	1	22.8445985288011	56.9387002754906	50.6878917028779	31.1755984078016	86.6645762640603	4.96669175563756	1	2.85048310783029	49.8170080803614	6.23198288418086	21.855575741187	2.51083504616287	1.59877454246277	8.24742628286045	1.18589553070634	1.555250145477	6.7341157814058	1.25165356670066	1.3887427089231	2.90881855065929	1.12159313820796	1.70157366448483	1
