trial	TP	TN	FP	FN	prec	sens	errorRate	AUC	expr	testFunctionalLncs	testSetSize
7	1	564	10	12	0.0909090909090909	0.0769230769230769	0.0374787052810903	0	knn.1.stats	13	1367
7	0	572	2	13	0	0	0.0255536626916525	0	knn.3.stats	13	1367
7	1	573	1	12	0.5	0.0769230769230769	0.0221465076660988	0	knn.5.stats	13	1367
7	0	570	4	13	0	0	0.0289608177172062	0.496515679442509	glm.circ.weights.stats	13	1367
7	2	565	9	11	0.181818181818182	0.153846153846154	0.0340715502555367	0.569083355668721	glm.circ.stats	13	1367
7	2	567	7	11	0.222222222222222	0.153846153846154	0.030664395229983	0.764674350040204	ridge.weight.stats	13	1367
7	0	574	0	13	NA	0	0.0221465076660988	0.771106941838655	ridge.stats	13	1367
7	0	572	2	13	0	0	0.0255536626916525	0.689895470383275	lasso.weight.stats	13	1367
7	0	574	0	13	NA	0	0.0221465076660988	0.689895470383275	lasso.stats	13	1367
6	3	551	25	8	0.107142857142857	0.272727272727273	0.0562180579216355	0.614662247474747	glm.poly2.weight.stats	11	1367
6	3	556	20	8	0.130434782608696	0.272727272727273	0.0477001703577513	0.619002525252525	glm.poly2.stats	11	1367
6	6	531	45	5	0.117647058823529	0.545454545454545	0.0851788756388415	0.823232323232322	glm.main.weight.stats	11	1367
6	4	572	4	7	0.5	0.363636363636364	0.0187393526405452	0.82528409090909	glm.main.stats	11	1367
6	4	545	31	7	0.114285714285714	0.363636363636364	0.0647359454855196	0.65490845959596	glm.cross.weights.stats	11	1367
6	3	553	23	8	0.115384615384615	0.272727272727273	0.0528109028960818	0.616398358585859	glm.cross.stats	11	1367
6	5	538	38	6	0.116279069767442	0.454545454545455	0.0749574105621805	0.828440656565655	lda.main.stats	11	1367
6	3	569	7	8	0.3	0.272727272727273	0.0255536626916525	0.55011047979798	qda.main.stats	11	1367
6	4	559	17	7	0.19047619047619	0.363636363636364	0.040885860306644	0	knn.1.stats	11	1367
6	1	575	1	10	0.5	0.0909090909090909	0.0187393526405452	0	knn.3.stats	11	1367
6	1	575	1	10	0.5	0.0909090909090909	0.0187393526405452	0	knn.5.stats	11	1367
6	4	554	22	7	0.153846153846154	0.363636363636364	0.0494037478705281	0.803503787878787	glm.circ.weights.stats	11	1367
6	4	572	4	7	0.5	0.363636363636364	0.0187393526405452	0.815893308080808	glm.circ.stats	11	1367
6	4	563	13	7	0.235294117647059	0.363636363636364	0.0340715502555367	0.809501262626261	ridge.weight.stats	11	1367
6	0	576	0	11	NA	0	0.0187393526405452	0.815183080808079	ridge.stats	11	1367
6	1	575	1	10	0.5	0.0909090909090909	0.0187393526405452	0.749368686868687	lasso.weight.stats	11	1367
6	0	576	0	11	NA	0	0.0187393526405452	0.857481060606059	lasso.stats	11	1367
5	3	545	29	10	0.09375	0.230769230769231	0.0664395229982965	0.590123291342804	glm.poly2.weight.stats	13	1367
5	2	553	21	11	0.0869565217391304	0.153846153846154	0.0545144804088586	0.558630393996248	glm.poly2.stats	13	1367
5	2	538	36	11	0.0526315789473684	0.153846153846154	0.080068143100511	0.408335566872151	glm.main.weight.stats	13	1367
5	1	573	1	12	0.5	0.0769230769230769	0.0221465076660988	0.519029750737068	glm.main.stats	13	1367
5	2	530	44	11	0.0434782608695652	0.153846153846154	0.0936967632027257	0.538595550790673	glm.cross.weights.stats	13	1367
5	2	555	19	11	0.0952380952380952	0.153846153846154	0.051107325383305	0.560372554274993	glm.cross.stats	13	1367
5	3	550	24	10	0.111111111111111	0.230769230769231	0.0579216354344123	0.552532833020637	lda.main.stats	13	1367
5	2	569	5	11	0.285714285714286	0.153846153846154	0.0272572402044293	0.378316805146073	qda.main.stats	13	1367
5	2	565	9	11	0.181818181818182	0.153846153846154	0.0340715502555367	0	knn.1.stats	13	1367
5	0	574	0	13	NA	0	0.0221465076660988	0	knn.3.stats	13	1367
5	0	574	0	13	NA	0	0.0221465076660988	0	knn.5.stats	13	1367
5	13	3	571	0	0.0222602739726027	1	0.972742759795571	0.502613240418119	glm.circ.weights.stats	13	1367
5	1	570	4	12	0.2	0.0769230769230769	0.0272572402044293	0.534977217904047	glm.circ.stats	13	1367
5	0	572	2	13	0	0	0.0255536626916525	0.721790404717234	ridge.weight.stats	13	1367
5	0	574	0	13	NA	0	0.0221465076660988	0.725810774591263	ridge.stats	13	1367
5	2	569	5	11	0.285714285714286	0.153846153846154	0.0272572402044293	0.723130528008577	lasso.weight.stats	13	1367
5	0	574	0	13	NA	0	0.0221465076660988	0.661752881265074	lasso.stats	13	1367
4	3	474	102	8	0.0285714285714286	0.272727272727273	0.187393526405451	0.54782196969697	glm.poly2.weight.stats	11	1367
4	1	561	15	10	0.0625	0.0909090909090909	0.0425894378194208	0.532433712121212	glm.poly2.stats	11	1367
4	2	530	46	9	0.0416666666666667	0.181818181818182	0.0936967632027257	0.612373737373737	glm.main.weight.stats	11	1367
4	1	573	3	10	0.25	0.0909090909090909	0.0221465076660988	0.674084595959597	glm.main.stats	11	1367
4	4	497	79	7	0.0481927710843374	0.363636363636364	0.146507666098807	0.613241792929293	glm.cross.weights.stats	11	1367
4	2	552	24	9	0.0769230769230769	0.181818181818182	0.0562180579216355	0.570075757575758	glm.cross.stats	11	1367
4	3	542	34	8	0.0810810810810811	0.272727272727273	0.0715502555366269	0.689551767676769	lda.main.stats	11	1367
4	0	569	7	11	0	0	0.030664395229983	0.39023042929293	qda.main.stats	11	1367
4	1	562	14	10	0.0666666666666667	0.0909090909090909	0.040885860306644	0	knn.1.stats	11	1367
4	0	575	1	11	0	0	0.020442930153322	0	knn.3.stats	11	1367
4	1	575	1	10	0.5	0.0909090909090909	0.0187393526405452	0	knn.5.stats	11	1367
4	1	571	5	10	0.166666666666667	0.0909090909090909	0.0255536626916525	0.541114267676768	glm.circ.weights.stats	11	1367
4	1	572	4	10	0.2	0.0909090909090909	0.0238500851788757	0.691445707070706	glm.circ.stats	11	1367
4	3	556	20	8	0.130434782608696	0.272727272727273	0.0477001703577513	0.797979797979795	ridge.weight.stats	11	1367
4	0	576	0	11	NA	0	0.0187393526405452	0.794823232323229	ridge.stats	11	1367
4	4	553	23	7	0.148148148148148	0.363636363636364	0.051107325383305	0.805239898989896	lasso.weight.stats	11	1367
4	0	576	0	11	NA	0	0.0187393526405452	0.758522727272725	lasso.stats	11	1367
3	6	543	27	11	0.181818181818182	0.352941176470588	0.0647359454855196	0.652786377708978	glm.poly2.weight.stats	17	1367
3	3	554	16	14	0.157894736842105	0.176470588235294	0.051107325383305	0.574200206398349	glm.poly2.stats	17	1367
3	4	560	10	13	0.285714285714286	0.235294117647059	0.0391822827938672	0.608875128998968	glm.main.weight.stats	17	1367
3	3	568	2	14	0.6	0.176470588235294	0.0272572402044293	0.648090815273478	glm.main.stats	17	1367
3	7	523	47	10	0.12962962962963	0.411764705882353	0.0971039182282794	0.664654282765738	glm.cross.weights.stats	17	1367
3	6	553	17	11	0.260869565217391	0.352941176470588	0.0477001703577513	0.66155830753354	glm.cross.stats	17	1367
3	3	543	27	14	0.1	0.176470588235294	0.0698466780238501	0.556759545923633	lda.main.stats	17	1367
3	1	567	3	16	0.25	0.0588235294117647	0.0323679727427598	0.315376676986584	qda.main.stats	17	1367
3	1	556	14	16	0.0666666666666667	0.0588235294117647	0.051107325383305	0	knn.1.stats	17	1367
3	1	570	0	16	1	0.0588235294117647	0.0272572402044293	0	knn.3.stats	17	1367
3	1	570	0	16	1	0.0588235294117647	0.0272572402044293	0	knn.5.stats	17	1367
3	16	1	569	1	0.0273504273504274	0.941176470588235	0.971039182282794	0.471465428276574	glm.circ.weights.stats	17	1367
3	1	566	4	16	0.2	0.0588235294117647	0.0340715502555367	0.525902992776058	glm.circ.stats	17	1367
3	5	557	13	12	0.277777777777778	0.294117647058824	0.0425894378194208	0.695356037151703	ridge.weight.stats	17	1367
3	0	570	0	17	NA	0	0.0289608177172062	0.697316821465429	ridge.stats	17	1367
3	2	563	7	15	0.222222222222222	0.117647058823529	0.0374787052810903	0.644117647058823	lasso.weight.stats	17	1367
3	0	570	0	17	NA	0	0.0289608177172062	0.5	lasso.stats	17	1367
2	6	497	73	11	0.0759493670886076	0.352941176470588	0.143100511073254	0.612435500515996	glm.poly2.weight.stats	17	1367
2	3	551	19	14	0.136363636363636	0.176470588235294	0.0562180579216355	0.57156862745098	glm.poly2.stats	17	1367
2	4	532	38	13	0.0952380952380952	0.235294117647059	0.0868824531516184	0.396697626418988	glm.main.weight.stats	17	1367
2	2	569	1	15	0.666666666666667	0.117647058823529	0.0272572402044293	0.510526315789473	glm.main.stats	17	1367
2	6	503	67	11	0.0821917808219178	0.352941176470588	0.132879045996593	0.617698658410733	glm.cross.weights.stats	17	1367
2	2	545	25	15	0.0740740740740741	0.117647058823529	0.0681431005110733	0.536893704850361	glm.cross.stats	17	1367
2	6	530	40	11	0.130434782608696	0.352941176470588	0.0868824531516184	0.694736842105267	lda.main.stats	17	1367
2	1	564	6	16	0.142857142857143	0.0588235294117647	0.0374787052810903	0.260835913312693	qda.main.stats	17	1367
2	2	561	9	15	0.181818181818182	0.117647058823529	0.040885860306644	0	knn.1.stats	17	1367
2	1	569	1	16	0.5	0.0588235294117647	0.0289608177172062	0	knn.3.stats	17	1367
2	1	570	0	16	1	0.0588235294117647	0.0272572402044293	0	knn.5.stats	17	1367
2	3	552	18	14	0.142857142857143	0.176470588235294	0.0545144804088586	0.362848297213622	glm.circ.weights.stats	17	1367
2	2	567	3	15	0.4	0.117647058823529	0.030664395229983	0.556191950464396	glm.circ.stats	17	1367
2	2	567	3	15	0.4	0.117647058823529	0.030664395229983	0.786377708978332	ridge.weight.stats	17	1367
2	0	570	0	17	NA	0	0.0289608177172062	0.786068111455112	ridge.stats	17	1367
2	6	536	34	11	0.15	0.352941176470588	0.0766609880749574	0.568214654282763	lasso.weight.stats	17	1367
2	0	570	0	17	NA	0	0.0289608177172062	0.717337461300312	lasso.stats	17	1367
1	6	500	72	9	0.0769230769230769	0.4	0.137989778534923	0.637062937062937	glm.poly2.weight.stats	15	1367
1	4	544	28	11	0.125	0.266666666666667	0.0664395229982965	0.608857808857809	glm.poly2.stats	15	1367
1	2	565	7	13	0.222222222222222	0.133333333333333	0.0340715502555367	0.560547785547786	glm.main.weight.stats	15	1367
1	4	571	1	11	0.8	0.266666666666667	0.020442930153322	0.661188811188814	glm.main.stats	15	1367
1	11	154	418	4	0.0256410256410256	0.733333333333333	0.718909710391823	0.501282051282051	glm.cross.weights.stats	15	1367
1	5	549	23	10	0.178571428571429	0.333333333333333	0.0562180579216355	0.646561771561772	glm.cross.stats	15	1367
1	6	544	28	9	0.176470588235294	0.4	0.0630323679727428	0.726107226107229	lda.main.stats	15	1367
1	2	567	5	13	0.285714285714286	0.133333333333333	0.030664395229983	0.331235431235431	qda.main.stats	15	1367
1	0	560	12	15	0	0	0.0459965928449745	0	knn.1.stats	15	1367
1	0	571	1	15	0	0	0.0272572402044293	0	knn.3.stats	15	1367
1	0	572	0	15	NA	0	0.0255536626916525	0	knn.5.stats	15	1367
1	14	3	569	1	0.0240137221269297	0.933333333333333	0.971039182282794	0.469289044289044	glm.circ.weights.stats	15	1367
1	4	559	13	11	0.235294117647059	0.266666666666667	0.040885860306644	0.621969696969697	glm.circ.stats	15	1367
1	6	562	10	9	0.375	0.4	0.0323679727427598	0.751748251748253	ridge.weight.stats	15	1367
1	0	572	0	15	NA	0	0.0255536626916525	0.755128205128206	ridge.stats	15	1367
1	0	570	2	15	0	0	0.0289608177172062	0.61981351981352	lasso.weight.stats	15	1367
1	0	572	0	15	NA	0	0.0255536626916525	0.5	lasso.stats	15	1367
