gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15	Comp.16	Comp.17	Comp.18	Comp.19	Comp.20	Comp.21	Comp.22	Comp.23	Comp.24	Comp.25	Comp.26	Comp.27	Comp.28	Comp.29	Comp.30
ENSG00000004142.6	rest	ENSG00000004142	51.3980982986782	26.7296268264158	17.6612811671815	8.43692242569673	13.7575572209453	8.5666178861231	7.6004966072845	5.97615183099818	6.39270897048584	5.06346395685925	3.46562526327964	5.14480828568689	10.4362215705426	8.80980546874358	109.779857346515	4.75940165871309	11.4274564980262	12.455538942003	2.91519545266836	9.45382504548319	3.04080074840745	5.30373509067405	9.12829056582108	4.82363296132343	2.24496751451696	1.49837946592769	2.06158951438716	4.24924153461434	1.35408269609843	1.07754378835373
ENSG00000006534.11	rest	ENSG00000006534	59.3516971150536	28.3074781101366	17.7135846433328	7.56885915111197	15.6149491816485	8.06148225315751	7.4928174758227	6.57303787689032	6.82276879109392	4.8443255968851	2.99406129767746	5.51749046642601	10.3870582499572	8.3245709549176	109.340255762522	5.34130414639508	11.5381308759744	12.2119780105071	2.44023048170354	9.07949294672403	2.99201872441901	5.34222919382481	9.19620350745086	4.8438992303374	2.18808443246234	1.43138810781009	2.19895542546675	4.17984003207212	1.37397522772403	1.10986212409174
ENSG00000049319.2	rest	ENSG00000049319	60.378416151022	28.7269189654759	17.1054204518547	7.28114148932999	15.269395825713	7.86970071077333	7.4500153497697	6.21079481779113	6.90238094932991	4.99845740643149	2.77746460730741	5.31347424590625	10.3102811495645	8.21957334241564	109.596567273924	5.39096159308811	11.637806900718	12.1283670696978	2.22835412762378	8.98623531466407	3.00369790873664	5.33170161106654	9.19896164121079	4.8587391639958	2.17347680869012	1.41838107725769	2.21690209777651	4.15999263472249	1.37073755680857	1.11300010000623
ENSG00000085365.12	rest	ENSG00000085365	57.1723987160053	28.2953832901852	17.1951611090144	7.66688156816248	15.1049455241006	8.01082043012731	7.27829768698205	6.47086260116034	6.88187857071073	4.98622182221713	3.25488873853285	5.3714604010664	10.1728833182018	7.95859219063699	109.533670905196	5.71098342296079	11.8621567126182	12.2913820077717	2.36675867516796	9.06753076160838	2.91360742170426	5.31181648279041	9.16231440381037	4.82275059563352	2.16526633401084	1.3929506709398	2.23313632367622	4.15191849757343	1.36650336127464	1.10833377566247
ENSG00000088970.10	rest	ENSG00000088970	59.5722915187755	28.6357425840875	16.9313988909291	7.17350498237362	15.3829728590358	8.35564018676199	7.31082343525645	6.21990315793286	6.29024525706072	5.03703748482216	2.59812644293164	5.43189777064278	10.8582910536489	8.21934243640151	109.787518533485	5.49590586856314	12.0179529270114	11.8806372101164	2.28571566935337	8.91890535667535	3.05251026480584	5.27860457740363	9.20548617999811	4.85801638930554	2.18233474228152	1.41936896254762	2.21690779925186	4.15435144123495	1.36918700726923	1.11072318785937
ENSG00000100181.14	true	ENSG00000100181	59.7984081288512	28.8121158445987	16.9481522382979	6.63826366143578	15.5357351352428	6.99248419948958	7.6481123574552	5.97980954415128	6.7252274906559	5.25274333420019	2.7412815050775	5.21815242325651	10.5564583684422	8.09844757073633	109.657483127726	5.47463679415735	11.5065271164813	12.1666749466068	2.21496452204198	9.03462267122788	2.99280461489294	5.35467519741741	9.1898926957311	4.85525341030469	2.1774390606921	1.42489312074189	2.21197594069816	4.16288326802789	1.36029530384742	1.11303475651735
ENSG00000104691.10	rest	ENSG00000104691	59.7273728432288	28.7151299158321	17.1238776149662	7.10085047118197	15.3706746853994	7.7377291148264	7.47032633270174	6.25625672796973	6.89546383416708	5.07357645676666	2.76932247516392	5.33524353677425	10.3983125927299	8.27077272253056	109.640952264331	5.43182405018072	11.6505588292604	12.1069158180475	2.27136825157639	9.00629431229953	3.01276652168747	5.33180538587682	9.19912636735137	4.85891379064723	2.16917686368581	1.41696581802145	2.21101191100397	4.16303683991174	1.37389265685089	1.11303071114876
ENSG00000108819.9	rest	ENSG00000108819	59.0229765562142	28.8018577865191	17.3297445511768	7.43846674212479	15.0311753367579	8.04178422430049	7.21454650740753	5.9630990153642	7.09675370048032	5.23548820127474	2.81550908175596	5.25382558944963	10.2872811496576	8.22911543551394	109.619487998758	5.30717760796107	11.6286916522846	12.1817187050999	2.36087777131357	8.94370374959681	3.02046729539718	5.34413155538353	9.17365958676592	4.85607840446692	2.20566805168489	1.43019200101095	2.20787653346493	4.14688148564486	1.36810545626147	1.11178269241486
ENSG00000110347.7	rest	ENSG00000110347	60.3686692644561	28.7295974651372	17.1089582759905	7.28159042220392	15.2680926929896	7.86635173105401	7.42686434807562	6.21242820523269	6.90615256012563	4.99309302896796	2.77756133451397	5.30625758459775	10.3073350389551	8.2227391622191	109.595250796319	5.38979149490022	11.639326681626	12.1269537387288	2.22819686349767	8.99017542208063	3.00403389761239	5.33228506160766	9.19919604913241	4.86017382081116	2.17364164856822	1.41823044505717	2.21701545178669	4.15995321887996	1.37068724666526	1.11316731005365
ENSG00000115934.11	rest	ENSG00000115934	60.3707474870201	28.7297038205931	17.0992872454017	7.2665633414459	15.277178984315	7.85040266969056	7.44717793470454	6.19781592715494	6.8930261270868	5.02144949699682	2.80082778289275	5.32529081907981	10.3025670172919	8.16852715651588	109.556081103929	5.34743913845465	11.667570649617	12.107249007073	2.21720109617679	8.99277403109462	3.00295473458254	5.33324958524473	9.20054195443403	4.86656953924398	2.17378881013321	1.41808910062385	2.21760509360146	4.15988476067091	1.37033571704949	1.11266582827315
