gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15
ENSG00000049319.2	rest	ENSG00000049319	87.2848716856965	9.68133238296764	7.61962943796235	77.9288372162387	13.8559457431267	78.4277519743046	113.308145782468	6.23818754524761	74.5903947186559	46.950088735555	5.08187258765041	4.65956093292141	3.00073717061876	1.88800962842919	42.6939286716294
ENSG00000088970.10	rest	ENSG00000088970	86.366509398544	9.50435123909547	7.04680564463509	77.6796825142642	14.6102202918559	78.3625796111009	113.187741590319	6.04762250861958	74.5243593107858	46.9841478369324	4.93330893155012	4.70146144483647	3.02729070492185	1.90387171278421	42.6638515445962
ENSG00000104691.10	rest	ENSG00000104691	86.671387379571	9.45916829484102	7.75177258558899	78.0752298632921	13.9429070996733	78.3501972239678	113.345069490003	6.30876074677336	74.5738855353978	46.9198345100373	4.96778067333621	4.59074689155714	3.02573489288392	1.9003372368404	42.7146338662133
ENSG00000110347.7	rest	ENSG00000110347	87.2748788863553	9.68108143080443	7.61831200739739	77.9227947320709	13.8518645216384	78.4384299161922	113.32070211875	6.25252602658493	74.5801793016893	46.9461583519375	5.08291273136296	4.65948699004722	3.00256858077622	1.88117012446743	42.6946254478904
ENSG00000126749.7	rest	ENSG00000126749	84.5387792808626	9.97384778316925	7.52722104307781	78.5020470702429	13.5902937904904	78.0916413506434	113.334027279846	6.15619492524178	75.2039634592741	46.8014182110269	4.35932842829005	4.61216700738439	3.45673044732934	1.41991577400581	43.1617134776815
ENSG00000130600.9	true	ENSG00000130600	1	51.3963220583923	123.127271849639	1	38.7224229017349	1	1	25.6247061046393	1	1	40.8694095145696	31.4314562023482	51.7501968519899	11.3380836473579	1
ENSG00000135253.8	rest	ENSG00000135253	87.2781568056857	9.67288368139203	7.60812264606245	77.9180791090436	13.841050340569	78.4231994048199	113.302426786923	6.23381863337948	74.5911938558573	46.9520564760318	5.07624249186546	4.66202837961701	3.00164267040002	1.88816933275727	42.6936400338964
ENSG00000142396.4	rest	ENSG00000142396	84.2508808932278	9.53736147034432	7.92188230063946	78.5839795693881	13.7623368174767	78.4392627677578	113.172269910701	6.79803020122258	75.1235499625696	46.6075236307317	4.80017713902552	4.5123285528109	3.37621252947285	1.98101616712994	42.6097664091583
ENSG00000144596.7	rest	ENSG00000144596	87.2618132301773	9.66387958048182	7.59938179333725	77.894965672674	13.814366577382	78.4132634166497	113.297431502119	6.23478950263436	74.5872670602938	46.9439060240057	5.07004144117333	4.65825678510764	3.00196192370999	1.88813889760135	42.6935887243818
ENSG00000151303.9	rest	ENSG00000151303	87.0942503378618	9.79735700423721	7.60055924960349	77.9958990966597	13.8186145695	78.4402042376948	113.361012596145	6.2337597183685	74.5976293433235	47.1178602886983	4.96728348234751	4.685788382733	3.05702152166304	1.8718154348231	42.5417066031303
ENSG00000153363.8	rest	ENSG00000153363	86.8309580720305	9.6111501040702	7.7670028546863	78.0300837670277	13.8507984160092	78.4301970542161	113.221802361248	6.36210881486445	74.4863392134004	46.9436011420695	5.00420539513006	4.68970013138368	2.94950880263749	1.88359488515762	42.6732102569469
ENSG00000160336.10	rest	ENSG00000160336	86.7514199352651	9.64385648506775	7.69192063060497	77.9549258258323	13.8745701419724	78.4564194619619	113.217781566738	6.2792249805539	74.6406046943316	46.9573408388098	5.0771370820409	4.70054616504528	2.95204310106187	1.97883779300858	42.6756357933252
ENSG00000167117.3	rest	ENSG00000167117	87.2864995617629	9.68150257647729	7.61982350992802	77.9280859223534	13.8560770015047	78.4278608775308	113.308171040079	6.23852408237255	74.5902344558507	46.9508346440641	5.08183289334508	4.66001758569869	3.00155075244199	1.88785187779498	42.6941393507234
ENSG00000170858.5	rest	ENSG00000170858	87.2867217642873	9.6814079771118	7.62019558942363	77.9280063301922	13.8558647402671	78.4284088739636	113.30792402428	6.23847518640861	74.5900255475473	46.9511434971014	5.08145643725652	4.66008920976976	3.00193046986708	1.8876022660597	42.6944072088536
ENSG00000172250.10	rest	ENSG00000172250	87.1132286201238	9.35123384977028	7.72498021948759	78.0417461949784	13.8435303778974	78.3207623978575	113.413238273825	6.20189818035299	74.4888266176284	46.9891601149256	5.02006707167677	4.66198184554073	3.01297490292379	1.90880645592887	42.7018734412677
ENSG00000174365.14	true	ENSG00000174365	86.8234304166302	9.69509529460949	7.62031364063043	77.8905590558176	13.8125487253217	78.4480746590378	113.377685412099	6.19126137555229	74.6516110283583	46.9691745986033	5.08792533834762	4.59665744238484	3.04060299142802	1.86715786580227	42.6990645874591
ENSG00000175061.9	rest	ENSG00000175061	58.7664076151878	7.94334679042416	10.2655565275394	75.5189482696283	11.8668366306665	77.9652907686379	114.758981303001	4.89332344790878	78.2456167157062	50.1804982517297	1.44913962754583	1	2.26310110959095	1.63717998557207	46.9886406755177
ENSG00000175147.7	rest	ENSG00000175147	87.2317687067981	9.67528247381149	7.55574299180514	77.9189663411441	13.8904682422931	78.4335913473529	113.322257725782	6.24990946510921	74.5637399610216	46.9400154539528	5.0924339127075	4.67629193774551	3.00606992430638	1.87668433210769	42.6973017281242
ENSG00000175164.7	rest	ENSG00000175164	87.2823364501423	9.66578108798771	7.62568823319802	77.9347679012043	13.8567169038704	78.4222279026841	113.311979820268	6.23680425883239	74.5858636652199	46.9530981404406	5.07932093077102	4.66012729686558	3.00232909017939	1.88827609637606	42.6938278453915
