gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15	Comp.16	Comp.17	Comp.18	Comp.19	Comp.20	Comp.21	Comp.22	Comp.23	Comp.24	Comp.25	Comp.26	Comp.27	Comp.28	Comp.29	Comp.30
ENSG00000248528.1	rest	ENSG00000248528	25.1799171660498	2.36354984150261	5.03038827111361	11.6953713547239	3.0063093240602	7.41731474831214	3.30982162146346	3.02155989856917	12.0499983979277	11.3542223835855	3.68477119484346	3.42917302340717	3.65973223146806	5.24135054367943	1.99799518276944	1.76135457564861	1.64998336260435	2.34526533564061	2.0730145640675	5.46076088641646	8.59833970441566	3.36712708343117	1.34097167285537	1.04988701677855	1.547738455962	1.14787891807155	2.30255812679918	1.0759006250864	1.01905396995812	1.13141597079526
ENSG00000248538.2	rest	ENSG00000248538	25.1000441445602	2.45814452143353	4.9722380800252	11.7445379843379	3.02608783213587	7.45607744749491	3.25488971457113	3.03104767872898	12.0633841476901	11.3748665937299	3.72517681274494	3.40055393901297	3.66314117976956	5.24865501041943	1.98743114657161	1.76593562776134	1.64915254447104	2.34793736026963	2.07333556289669	5.45906253604777	8.59723877881029	3.3678570421824	1.34157838705671	1.05549057713105	1.54477752248369	1.1472515784787	2.30241164263422	1.07602666938289	1.0193256101285	1.13135841681701
ENSG00000248551.1	rest	ENSG00000248551	25.1785661542705	2.36240824080561	5.0304482496691	11.6951583652795	3.0074283714995	7.4171392719832	3.31134331734148	3.0253324517413	12.0471175839927	11.355449903856	3.68665706152952	3.42892025303479	3.66088994856581	5.23959280446366	2.00046005706272	1.76135409405642	1.64968770283988	2.34292836970073	2.07801681969871	5.45734070409284	8.59673972861282	3.36617757470047	1.3427231862142	1.04894751596751	1.54659041931099	1.14741653332941	2.30200573222864	1.07678371044708	1.01930481252195	1.1320287033103
ENSG00000248587.1	rest	ENSG00000248587	25.1723036874062	2.36015705665641	5.02957304251108	11.6957324131525	3.00950586628066	7.41173398890689	3.30864963000376	3.02457742334626	12.0469158839081	11.3574460009572	3.6853493088252	3.42808514743194	3.66005232931267	5.2418412621814	1.99938880367996	1.76293552640424	1.65280937510755	2.34361127559253	2.07551171580103	5.46096086795735	8.59859114834747	3.36751406128346	1.34082849824497	1.04941960010429	1.54648659694044	1.14789005871585	2.30254305056172	1.07616315101146	1.0190272079819	1.13137430764375
ENSG00000248588.1	rest	ENSG00000248588	25.180612553006	2.36263156244882	5.02969858565606	11.6952411926241	3.00633450001927	7.41694469610153	3.30922904729721	3.0236467366114	12.0482580914079	11.3564038431728	3.68603986313085	3.4289554540789	3.66009267121916	5.24038634171259	1.99901794771042	1.76121799857333	1.65006794393202	2.3437023774575	2.07555218795749	5.46049820385538	8.59818186667616	3.3668216475731	1.34095114921131	1.04944558539566	1.54643012849313	1.14788323734543	2.30248705794291	1.07615910834226	1.01903522912722	1.13145547495557
ENSG00000248605.1	rest	ENSG00000248605	25.1533354226102	2.38519759439603	5.05316948104796	11.6997871223311	3.05699021156112	7.26725061593747	3.27541487924418	3.01951473390606	12.0487959531346	11.357462782078	3.68479646510265	3.43265581937631	3.65638877395984	5.25088149447209	2.00168198749936	1.74337924762868	1.68025640804205	2.34876606575519	2.07504438893626	5.46027774946597	8.59823827503152	3.36777173194505	1.34144093328484	1.04908264015794	1.54672689111818	1.1475866102556	2.30228508633797	1.07614314251598	1.01898919755529	1.13141373986272
ENSG00000248636.2	rest	ENSG00000248636	25.1731221840232	2.36066739156283	5.03306076526239	11.6945712625174	3.00747382174127	7.41899264989915	3.31002602788335	3.02622556579074	12.0474756608249	11.3653733546754	3.67825633490457	3.42258680504927	3.65880127143841	5.24870744830028	1.99466296307027	1.76474581543568	1.65178944513031	2.34275903796973	2.07530609685672	5.46252967245571	8.59895219937015	3.36683537943394	1.34105039005972	1.04907693667118	1.54645016941396	1.14791896192886	2.30269488253138	1.07638575100143	1.01888740434788	1.13113680595981
ENSG00000248663.2	rest	ENSG00000248663	25.1316796743943	2.34322463340058	5.01486124019047	11.6984852519849	3.00211451279919	7.40143363796147	3.30293734195483	3.01274233060752	12.0611227037371	11.3494887236317	3.67389605299658	3.42861005207476	3.64272751205458	5.20558224469182	2.08729838249862	1.84538815549269	1.67367439823875	2.34784876644806	2.06255300025431	5.46895641755141	8.59701838373951	3.36754819264489	1.33985415286778	1.05049740213334	1.54564701811133	1.14705675111704	2.30162885108977	1.0761167174668	1.02021603333953	1.13129679426067
ENSG00000248667.1	rest	ENSG00000248667	25.1724878400652	2.38772457254137	5.01771817761135	11.6972460555216	2.99563316721401	7.41744193287184	3.3042350706109	3.02355787998811	12.0226629255459	11.35339478064	3.66539242034063	3.44613421936603	3.65779144974467	5.24193689811622	1.99904573490512	1.76307674694392	1.64700564948852	2.36128721736375	2.09074798601854	5.4688277062605	8.59970699518644	3.36769146278728	1.33778651125083	1.04439082837655	1.54676821334848	1.14795843831161	2.30220046274046	1.076421154329	1.0188463661343	1.13135846098135
ENSG00000248685.1	rest	ENSG00000248685	25.1804071609074	2.36546333528945	5.0278305429038	11.6964734760688	3.00527939507723	7.41696776276974	3.30855194623263	3.02413634503336	12.0483903184314	11.356860282346	3.68638104578867	3.42901622782706	3.65930767395734	5.24139967505267	1.99855039748291	1.76190835827602	1.65040307499745	2.34372539953082	2.0749752735928	5.46186457285048	8.59841133250128	3.36725723726606	1.34116325096327	1.04937729870753	1.54660888071578	1.1479732425535	2.30236712986095	1.07615152058488	1.01903970055812	1.13141414709666
ENSG00000248693.1	rest	ENSG00000248693	25.1215390970606	2.43194427132111	5.01140661511471	11.5194274009428	2.99688677975088	7.42316167472824	3.31594400530958	2.97123633816275	12.0210091822127	11.3539913219001	3.67013955917046	3.42009816539322	3.60984145888516	5.19803221517896	1.95868798250827	1.77977451248381	1.6402746828553	2.44443085522222	2.13695259046887	5.48474001289402	8.60176176309834	3.3615028072782	1.33652985119932	1.04857942748088	1.54415477237899	1.14523078902598	2.30179227957408	1.07712024663952	1.01949148320736	1.13081405872909
