mainEffects	ratio	reg	lambda	run	predict	TPR	TP	FP	FN	TN	AUC
TRUE	0.7	TRUE	0	1	0.973105134474328	0	6	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.01	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.1	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	100	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1000	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10000	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+05	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+06	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+07	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+08	1	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.01	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.1	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	100	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1000	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10000	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+05	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+06	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+07	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+08	2	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.01	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	0.1	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	100	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1000	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	10000	3	NA	0	0	2	36	1319	0.287719298245614
TRUE	0.7	TRUE	1e+05	3	NA	0	0	2	36	1319	0.287719298245614
