gene_id	withinSubset	lncRnaName	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5	Comp.6	Comp.7	Comp.8	Comp.9	Comp.10	Comp.11	Comp.12	Comp.13	Comp.14	Comp.15
ENSG00000231542.1	rest	ENSG00000231542	61.2275282975678	20.0195652870776	8.75066135172417	8.3253377811261	6.83590056505401	8.78898759109861	5.97497078255297	7.0236202811621	6.58249365053264	84.7912677502626	6.45330518895605	4.94711672620003	84.3147558491662	5.40358032486711	10.2548752107827
ENSG00000231551.2	rest	ENSG00000231551	61.2123790023901	20.0226727030618	8.75332798037575	8.32918409999618	6.83891593893207	8.79142688941217	5.97736947232761	7.01855134920622	6.57670052499136	84.7981587510253	6.45783355311193	4.9537023941956	84.3125635172303	5.40720714326177	10.2559243927025
ENSG00000231557.1	rest	ENSG00000231557	61.2275162371303	20.0194221602025	8.75212765605199	8.32668574883992	6.83666271161517	8.78914176135917	5.97506589169175	7.02327550328701	6.58268280009237	84.7907335023278	6.453858189259	4.94701301789271	84.3149585764385	5.40303161164628	10.2541607677708
ENSG00000231560.1	rest	ENSG00000231560	61.2280895782231	20.0198721771893	8.75167094987535	8.32669510739649	6.83632237903903	8.78930074253387	5.97493833612547	7.02351520132348	6.58219880595796	84.7911874594009	6.45323502889737	4.9471293322143	84.3148288812073	5.40357246807114	10.2548796099035
ENSG00000231563.1	rest	ENSG00000231563	61.2164244893234	20.0204344569336	8.74891953440555	8.32358215715586	6.84140588338488	8.78847239954199	5.97293139723736	7.02130406808041	6.58447337506696	84.7963467992806	6.44735795064522	4.94517419466228	84.314210688324	5.40516100297475	10.2534125066827
ENSG00000231566.1	rest	ENSG00000231566	61.2086304982503	20.0213117654403	8.75972533293194	8.33235934802069	6.82241658917255	8.7873224473521	5.97766079556976	7.01810365859333	6.58183882287682	84.7869231545262	6.45512999708235	4.95291927458469	84.321189078315	5.40831499611441	10.2547927031758
ENSG00000231574.1	rest	ENSG00000231574	61.2002452920642	20.02802862582	8.76165674240533	8.32549633344992	6.84391462225475	8.81445144473117	5.97850715793349	7.02277649709762	6.60055357596809	84.7976185726672	6.45209163396825	4.94495334976837	84.3073991729317	5.39781971564797	10.2504495288126
ENSG00000231578.1	rest	ENSG00000231578	61.2245906850538	20.0213253740462	8.75218356045811	8.32719234517335	6.83869814750784	8.78897401755074	5.97327749457283	7.02280933439388	6.58454779408393	84.7891912632801	6.45568400931877	4.94645455395382	84.3157433199493	5.40012376136947	10.2539757578413
ENSG00000231581.1	rest	ENSG00000231581	61.2233737630938	20.0211788843543	8.75040868784421	8.32876943685841	6.83710159233257	8.78916421786112	5.97267115621722	7.02284833314907	6.58419427730111	84.78984635166	6.45452379187662	4.94669896053734	84.3165217081074	5.40122319452271	10.2552078977154
ENSG00000231589.1	rest	ENSG00000231589	61.2277455475152	20.0199682874543	8.7517174478501	8.32669539292981	6.83649467918803	8.78920025584411	5.97346877146184	7.02347404253348	6.58229645911708	84.791138291895	6.45309261068272	4.94704894465163	84.3148425005264	5.40355679258973	10.2549284400708
ENSG00000231595.1	rest	ENSG00000231595	61.1506108566127	20.0147686693916	8.74561598242058	8.32783867855825	6.83190921998097	8.79505221709607	5.97556012245808	7.02037189053223	6.57146996249976	84.7897281175219	6.45341588467766	4.94821032497668	84.3147081742942	5.40648838183914	10.2576036285002
ENSG00000231599.1	rest	ENSG00000231599	61.2251103719836	20.018876065513	8.74653370259906	8.32381542973555	6.83547181421879	8.78813333847754	5.97355523429778	7.02418343882524	6.58320663334899	84.7914051136739	6.4531869658017	4.94694275351105	84.3145978991797	5.40356854275292	10.2549474311542
ENSG00000231605.1	rest	ENSG00000231605	61.2272736417335	20.0199153688998	8.75133433225253	8.32680673528488	6.83580163310157	8.78961966209635	5.97507339903264	7.02347387757092	6.58232289288899	84.7909487427577	6.45333113068762	4.94730844212003	84.3135900674956	5.40370665078021	10.255061400236
ENSG00000231607.2	true	ENSG00000231607	60.9675196658478	20.0142767694088	8.67175793197951	8.30792232886788	6.79309105101719	8.84329182235437	6.01013114974503	7.02488821337248	6.56982764934133	84.7430489619023	6.48947231139343	4.97540407569334	84.2970697258955	5.40404468263821	10.2552986270328
ENSG00000231609.1	rest	ENSG00000231609	61.2233522698047	20.0184978291939	8.75332649574784	8.3283057870287	6.83098408240159	8.79008760743835	5.97543096172376	7.02224944629612	6.58249207481988	84.7914297865816	6.45274697011277	4.9479024307234	84.3179381359167	5.40466086226455	10.2550139559053
ENSG00000231611.1	rest	ENSG00000231611	61.0482446700231	19.9625857311105	8.81772854426207	8.36151556063641	6.83206388838801	8.76082710470547	5.98212658191114	7.11488744378724	6.54586679132408	84.7252509240714	6.52046868521907	4.9500470518247	84.2540270934868	5.48323639757995	10.2864775696879
ENSG00000231612.1	rest	ENSG00000231612	61.2164666930953	20.019089434843	8.74230763125314	8.3203812902691	6.83546917855443	8.78649242449722	5.97462784298601	7.02451902748475	6.58558820521529	84.7919701981654	6.45414942817332	4.94719161168928	84.3114711798234	5.39947038684534	10.2571237498584
ENSG00000231613.1	rest	ENSG00000231613	61.2261766571154	20.0188646439414	8.7499744847165	8.32482696725114	6.83600840975874	8.78899844776584	5.97430127467026	7.02508893286921	6.58207820004826	84.7910358025224	6.45299213544394	4.94708837917158	84.3149104141849	5.40336576697768	10.254883201104
ENSG00000231621.1	rest	ENSG00000231621	61.226850747397	20.0196641038137	8.74768083094635	8.33071401535503	6.83697397660795	8.78997825529442	5.97582101899436	7.02371477953028	6.58252213207869	84.7913996590577	6.45310630162504	4.94703261358996	84.314724670742	5.40366553913435	10.2549383912443
ENSG00000231625.1	rest	ENSG00000231625	61.2252584571728	20.0197502911254	8.75171874844579	8.32613787830106	6.8368318384842	8.79138209487595	5.97375981590497	7.02068103667368	6.57556599230808	84.7971290245002	6.45960676196789	4.95009288062216	84.315170921628	5.40343372671055	10.2547083127891
ENSG00000231628.1	rest	ENSG00000231628	61.2269473084562	20.0196940156089	8.75067054901815	8.32557318209107	6.83616842645344	8.78922483115464	5.97295191182209	7.02370830179683	6.58266938498002	84.7912065588022	6.45306713224033	4.94700897609445	84.3147873932968	5.40354930803905	10.2549446083875
