transcript_id HELAS3 GM12878 H1HESC HEPG2 K562
ENST00000442305.1 0.001124 0 0.0008615 0 0
ENST00000449660.1 0 0.003589 0 0.001429 0.0001255
ENST00000443892.2 0 0.005044 0 0.004425 0
ENST00000416860.2 0.002279 0.0154545 0 0.0070495 0.0002345
ENST00000448624.2 0 0.0438905 0 0.013383 0
ENST00000432521.2 0.002693 0.0092235 0.000102 0.0052345 0.000197
ENST00000452793.1 0 0.0005775 0 0.0082 0
ENST00000456687.2 0.000708 0.014897 0 0.003558 0
ENST00000424215.1 0 0.156371 0.0005005 0.006586 0
ENST00000427302.1 0 0 0.016679 0.0004865 0
ENST00000457440.1 0 0 0 0 0
ENST00000429389.1 0 0 0.000746 0 0
ENST00000321399.3 0 0 4.35e-05 0 0
ENST00000413472.1 0 0 0 0 0
ENST00000453118.1 0.000513 0 0.0002645 0.0003815 0
ENST00000445317.1 0.0003705 0 0.0003495 0.0027195 0
ENST00000415573.1 0 0 0 0 0
ENST00000321336.1 0.000196 0 0.000447 0.0192495 0
ENST00000440516.1 0 0 0 0 0
ENST00000435049.1 0.005025 0.0036965 0.001842 0.001546 0.00404
ENST00000443034.1 0 0.012198 0 0.001955 0
ENST00000416554.1 0 0 0 0 0
ENST00000418088.1 0.001793 0 0.005665 0 0
ENST00000452079.1 0.0590505 0.051298 0.213343 0.054011 0.186449
ENST00000419973.1 0.0008485 0.0003695 0.0034065 0.000494 0.00251
ENST00000423764.1 0.0395365 0.0109775 0.248588 0.106311 0.043461
ENST00000544565.1 0.152339 0.028202 0.272432 0.18094 0.061932
ENST00000444870.2 0.0179685 0.0004785 0.0169365 0.0919435 0.0685945
ENST00000452264.1 0.007589 0.000306 0.0024645 0.01508 0.013368
ENST00000413332.1 0.018546 0.002119 0.0095625 0.0171425 0.0016785
ENST00000442673.1 0.0110445 0.001445 0.005874 0.024505 0.0018535
ENST00000439488.1 0.004621 0.0005085 0.0005085 0.004365 0.0003795
ENST00000456897.1 0 0 0 0 0
ENST00000412674.1 0 0 0 0 0
ENST00000425194.1 0 0 0 0 0
ENST00000423197.1 0 0 0 0 0
ENST00000438791.1 0 0 0 0 0
ENST00000420522.1 0 0 0 0 0
ENST00000443270.1 0 0 0.003233 0 0
ENST00000413887.1 0 0 0.0020295 0 0
ENST00000455744.1 0.00117 0.001772 0 0 0.0044075
ENST00000441724.1 0.0062125 0.000549 0.0190005 0.000606 0.000366
ENST00000429480.2 0.013504 0.001219 0.037709 0.0047975 0.00181
ENST00000419034.1 0.000823 0 0.00035 0.0018785 0
ENST00000432429.1 0.0002365 0 0 0 0
ENST00000414210.1 0 0 0 0 0
ENST00000421469.1 0 0 0 0 0
ENST00000442889.1 0.0177055 0.017234 0.0072285 0.015038 0.0377915
ENST00000456701.1 0 0 0 0 0.001184
