filename	NHEK	K562	HELAS3	GM12878	H1HESC
ENST00000379093.3	0.000864333	0.006703	0	0.010653	0.0159705
ENST00000437461.1	0	0.0085615	0.063686	0.031663	0.0040135
ENST00000424151.1	0.0381247	0.12249	0	0.113624	0
ENST00000412293.1	0.024254	0.0874035	0.226821	0.10709	0.424368
ENST00000435041.1	4.01892	5.97316	6.59038	20.4759	1.44137
ENST00000423062.1	0	0.028312	0	0	0
ENST00000544183.1	0	0	0.726255	0	0.0029425
ENST00000435162.1	0.591858	1.85784	0.408084	4.92397	2.22943
ENST00000447262.1	0	0.072316	0	0	0.0839655
ENST00000434073.1	0	0	0	0	0
ENST00000445084.1	0.0478637	0.091166	0.231686	0.0162765	0.579903
ENST00000458394.1	1.52247	21.6719	11.1017	5.0107	2.94871
ENST00000502570.1	0	0	0	0	0
ENST00000514791.1	0	0	0	0	0.030807
ENST00000426340.1	0	0	0	0	0
ENST00000427671.1	0	0.281064	0.00982	0	0
ENST00000413151.1	0	0	0	0	0
ENST00000439892.1	2.77866	6.66481	14.4195	20.3751	8.04051
ENST00000424162.1	0	0	0.0053925	0.009622	0
ENST00000425493.1	0	0.0190025	0	0.00371	0
ENST00000448241.1	0	0	1.4824	0	0.0667425
ENST00000449572.1	0.0548337	0.080115	0.005836	0	3.95866
ENST00000436262.1	0	0	0	0	0
ENST00000437593.1	0.0479937	0.0323055	0.141535	0.043553	0.077051
ENST00000424283.1	0.011239	0	0.0119945	0.0057925	0
ENST00000449693.1	0	0	0.306562	0	0
ENST00000436383.1	1.60365	0	2.35683	0.0013135	0.720733
ENST00000423194.1	0	0	0	0	0
ENST00000446184.1	0	0	0.0473925	0	0
ENST00000501371.1	0.00180767	0	0.0024225	0.0021395	0.211054
ENST00000418970.1	0.00168767	0.385458	0.01191	0.117416	0.924133
ENST00000525450.1	0	0	0	0	0
ENST00000417881.1	0	0	0.0102225	0	0.001401
ENST00000523030.1	0.007926	0.269968	0.406057	0.348042	0.168536
ENST00000524361.1	0	12.8898	0.025521	0.003788	0
ENST00000415340.1	3.39948	10.1504	5.01484	5.92571	4.69227
ENST00000523151.1	0.0524467	20.7676	0.0584885	0.064633	0.005836
ENST00000415582.1	0.00167533	0	1.7731	0.731821	0.715618
ENST00000534162.1	0	0	0.0085335	0	0.028667
ENST00000522183.1	0.009973	0.290276	0.034442	0.062944	0.128025
ENST00000426593.1	0	0	0	0	0
ENST00000436031.1	0	0	0	0	0
ENST00000448131.1	0	0	0	0	0.0045405
ENST00000449462.1	0	0	0	0.0134505	0
ENST00000412194.1	8.7861	5.10246	3.08705	19.4352	9.85727
ENST00000448494.1	0.917477	0.863921	0.362294	1.62973	0.117188
ENST00000412171.2	0.198231	0.236461	0.817878	0.358137	0.510243
ENST00000504891.1	0.0399563	0.0184825	0.005112	0.0635215	0
ENST00000515660.1	0	0	0	0	0
ENST00000514571.1	0.00327967	2.00948	0	2.12588	0.188327
ENST00000417650.1	0.404556	0.028355	0.131409	0.89766	0.185435
ENST00000429871.1	0.113705	0.144464	0.064012	0.084213	0.0215575
ENST00000524493.1	0	0	0	1.36423	0
ENST00000511183.1	0.00200033	0.020748	0.0092905	0.015507	0.0341575
ENST00000427451.1	0	0	0.036267	0	0
ENST00000414141.1	0.01157	0.029889	0.121413	0.183708	0.863997
ENST00000523283.1	0	12.8898	0.025521	0.003788	0
ENST00000425031.1	0	0	0	0	0
ENST00000414383.1	0.007629	0.0015885	0	0	0.003765
ENST00000426483.1	0.294569	0.84817	0.774075	1.35248	0.156703
ENST00000546273.1	0	0	0	0	0
ENST00000436042.1	0	0	0	0	0
ENST00000412084.1	0	0	0	0	0
ENST00000449473.1	2.34392	3.34086	1.70092	1.22445	0.529309
ENST00000425371.2	0.00328567	0	0.0068315	0.006835	0
ENST00000435195.1	0	0	0	0	0
ENST00000469196.1	1.32311	0	0.102778	0	0.0888795
ENST00000416330.1	40.3065	43.4334	2.96203	165.755	0.0467465
ENST00000415120.1	0	0	0.013663	0	0
ENST00000429761.1	0	0	0	0	0
ENST00000417782.1	0	0.0089095	0	0	0
ENST00000429882.1	0	0	0	0	0.0150065
ENST00000416572.1	0.340922	0.831861	0.608617	0.804821	1.39381
ENST00000511073.1	0.017724	0	0	0.0036285	0
ENST00000427341.1	0.818736	0	0	0.0214065	0.0180935
ENST00000523173.1	0	0	0	0	0.0281285
ENST00000511194.1	0.002821	0	0.0069355	0.0174085	0
ENST00000439562.1	0.00190233	0	0	0.0168395	0
ENST00000438352.1	0	0	0	0	0
ENST00000413063.1	0	0	0	0	0
ENST00000414394.1	0	0	0	0	0
ENST00000546284.1	0.0136733	0	0.005065	0	0
ENST00000449242.1	0	0	8.58984	0.0997615	0
ENST00000449363.1	1.51378	4.08678	2.93567	5.50021	1.32785
ENST00000437384.1	0	0	0	0.0030425	0.0008855
ENST00000436295.1	0.0255383	2.56538	0.0366955	0	0
ENST00000505870.1	0.631898	2.77471	8.97433	3.96688	2.47541
ENST00000429530.1	0.136218	0.0073655	0.152995	0.0072465	0
