index "transcript_id" "HELAS3" "GM12878" "H1HESC" "HEPG2" "K562" "entropy" "min" "max" "average" "maxExpr" "HELAS3.Expr" "GM12878.Expr" "H1HESC.Expr" "HEPG2.Expr" "K562.Expr" "threeTimesSpecifity" "tissSpec" "expressed"
"30" "ENST00000423796.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"31" "ENST00000450696.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"32" "ENST00000440196.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"33" "ENST00000357876.4" 0 0.000178 0 0 0 0 0 0.000178 3.56e-05 "GM12878" "notExpressed" "low" "notExpressed" "notExpressed" "notExpressed" "GM12878" 1 "yes"
"34" "ENST00000440200.1" 0.0016975 0.0008385 0 0.001471 0.004193 1.74624408790047 0 0.004193 0.00164 "K562" "mid" "mid" "notExpressed" "mid" "mid" "None" 0.450135045053036 "yes"
"35" "ENST00000452176.1" 0 0.000192 0 0 0.001568 0.497167761416075 0 0.001568 0.000352 "K562" "notExpressed" "low" "notExpressed" "notExpressed" "mid" "K562" 0.761637481614322 "yes"
"36" "ENST00000441245.1" 0.005649 0.001582 0.000453 0.0112825 0.0066565 1.85814076048974 0.000453 0.0112825 0.0051246 "HEPG2" "mid" "mid" "low" "high" "mid" "None" 0.399685580334639 "yes"
"37" "ENST00000419394.1" 0 0 0 0 0 0 0 0 0 "None" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "notExpressed" "None" 1 "no"
"38" "ENST00000448605.1" 0 0.0007325 0 0.0147865 0.00196 0.749935730013925 0 0.0147865 0.0034958 "HEPG2" "notExpressed" "low" "notExpressed" "high" "mid" "HEPG2" 0.714233160086774 "yes"
"39" "ENST00000414688.1" 0.001215 0.0045875 0 0.0051345 0.0269115 1.26907141176038 0 0.0269115 0.0075697 "K562" "mid" "mid" "notExpressed" "mid" "high" "K562" 0.597296254840216 "yes"
"40" "ENST00000447954.1" 0.0071485 0 0.0051885 0.0148135 0.007645 1.88331456043385 0 0.0148135 0.0069591 "HEPG2" "mid" "notExpressed" "mid" "high" "high" "None" 0.389280173042999 "yes"
"41" "ENST00000416385.1" 0.0577905 0.065643 0.331806 0.07116 0.306072 1.9191201505685 0.0577905 0.331806 0.1664943 "H1HESC" "high" "high" "high" "high" "high" "None" 0.369840767612034 "yes"
"42" "ENST00000417659.1" 0.0174335 0.0313565 0.0285895 0.058938 0.115549 2.00327116570672 0.0174335 0.115549 0.0503733 "K562" "high" "high" "high" "high" "high" "None" 0.412803014381481 "yes"
"43" "ENST00000422528.1" 0 0.0011175 0 0.0006095 0.0024465 1.36604155976847 0 0.0024465 0.0008347 "K562" "notExpressed" "mid" "notExpressed" "low" "mid" "None" 0.50372401861928 "yes"
"44" "ENST00000428504.1" 0.101473 0.0791685 0.243695 0.175881 0.329735 2.14239752917344 0.0791685 0.329735 0.1859905 "K562" "high" "high" "high" "high" "high" "None" 0.337983363487537 "yes"
"45" "ENST00000457084.1" 0.035193 0.024044 0.021411 0.04155 0.035698 2.27883877015523 0.021411 0.04155 0.0315792 "HEPG2" "high" "high" "high" "high" "high" "None" 0.269434372165584 "yes"
"46" "ENST00000429505.1" 0.0026395 0.0030325 0 0.0002215 0 1.19018271870815 0 0.0030325 0.0011787 "GM12878" "mid" "mid" "notExpressed" "low" "notExpressed" "None" 0.45241613474424 "yes"
"47" "ENST00000434264.1" 0.0058405 0.019595 0.002325 0.0045335 0.015204 1.96137159569596 0.002325 0.019595 0.0094996 "GM12878" "mid" "high" "mid" "mid" "high" "None" 0.379854730708772 "yes"
"48" "ENST00000447500.1" 0.0011475 0.009127 0 0.001032 0.0051875 1.51497400970599 0 0.009127 0.0032988 "GM12878" "mid" "high" "notExpressed" "low" "mid" "None" 0.480091767456095 "yes"
"49" "ENST00000443772.1" 0.0017005 0.002638 0.000914 0.0017845 0 1.91022035335467 0 0.002638 0.0014074 "GM12878" "mid" "mid" "low" "mid" "notExpressed" "None" 0.352745969328874 "yes"
"50" "ENST00000412115.1" 0.0015265 0.007109 0.0002325 0.00129 0.001233 1.63074112499446 0.0002325 0.007109 0.0022782 "GM12878" "mid" "high" "low" "mid" "mid" "GM12878" 0.531360125121527 "yes"
"51" "ENST00000435300.1" 0.019436 0.0133035 0.005277 0.0098495 0.005099 2.13928633861948 0.005099 0.019436 0.010593 "HELAS3" "high" "high" "mid" "high" "mid" "None" 0.347004685366544 "yes"
"52" "ENST00000326734.1" 0 0 0 0.0023365 0 0 0 0.0023365 0.0004673 "HEPG2" "notExpressed" "notExpressed" "notExpressed" "mid" "notExpressed" "HEPG2" 1 "yes"
"53" "ENST00000473798.1" 0.007699 0.0160325 0.014157 0.0143395 0.0430105 2.06406542810294 0.007699 0.0430105 0.0190477 "K562" "high" "high" "high" "high" "high" "None" 0.407712145325586 "yes"
"54" "ENST00000536430.1" 0.014708 0.0013645 0.0140375 0.00716 0.0029975 1.94820607429929 0.0013645 0.014708 0.0080535 "HELAS3" "high" "mid" "high" "mid" "mid" "None" 0.345767988904238 "yes"
"55" "ENST00000445118.1" 0.120469 0.113293 0.256902 0.146029 0.251467 2.23119085116585 0.113293 0.256902 0.177632 "H1HESC" "high" "high" "high" "high" "high" "None" 0.289437066904582 "yes"
"56" "ENST00000441765.1" 0.0301765 0.007279 0.066785 0.0720555 0.011757 1.91591529250673 0.007279 0.0720555 0.0376106 "HEPG2" "high" "high" "high" "high" "high" "None" 0.358740247778281 "yes"
"57" "ENST00000449005.1" 0.0740995 0.039202 0.0938115 0.0981005 0.0724605 2.26146571621278 0.039202 0.0981005 0.0755348 "HEPG2" "high" "high" "high" "high" "high" "None" 0.26679842480544 "yes"
"58" "ENST00000416570.1" 0.0020415 0 0.0015505 0 0 0.9864794174047 0 0.0020415 0.0007184 "HELAS3" "mid" "notExpressed" "mid" "notExpressed" "notExpressed" "None" 0.490849552378957 "yes"
"59" "ENST00000415295.1" 0.0207045 0.0124805 0.0098125 0.0255965 0.0136565 2.23385774775251 0.0098125 0.0255965 0.0164501 "HEPG2" "high" "high" "high" "high" "high" "None" 0.305962265839382 "yes"
"60" "ENST00000448975.1" 0.019178 0.0044525 0.0031725 0.0086665 0.0096275 2.05665997787419 0.0031725 0.019178 0.0090194 "HELAS3" "high" "mid" "mid" "high" "high" "None" 0.388945225175232 "yes"
"61" "ENST00000425657.1" 0.0104495 0.008542 0.0083435 0.0193665 0.009328 2.23503564267423 0.0083435 0.0193665 0.0112059 "HEPG2" "high" "high" "high" "high" "high" "None" 0.331453674081775 "yes"
"62" "ENST00000446136.1" 0.000263 0.0029535 0.000473 0.0026215 0.0026235 1.94023961230487 0.000263 0.0029535 0.0017869 "GM12878" "low" "mid" "low" "mid" "mid" "None" 0.320356742490245 "yes"
