"","missing"
"1","ENSG00000235162"
"2","ENSG00000228474"
"3","ENSG00000175061"
"4","DANCR"
"5","SNGG1"
"6","ZFAS1"
"7","ENSG00000249790"
"8","ENSG00000256329"
"9","ENSG00000235162"
"10","ENSG00000228474"
"11","ENSG00000249532"
"12","ENSG00000249502"
"13","MALAT1"
"14","H19"
"15","RP11-255B23.3"
